"SUBJID"	"COUNTRY_SELF"
1581	"Italy"
91	"Italy"
1489	"Italy"
2116	"Italy"
1337	"Italy"
1613	"Italy"
1784	"Italy"
1395	"Italy"
2155	"Italy"
1142	"Italy"
640	"Italy"
1516	"Italy"
752	"Italy"
1935	"Italy"
1053	"Italy"
423	"Italy"
470	"Italy"
2149	"Italy"
1895	"Italy"
899	"Italy"
380	"Italy"
1953	"Italy"
1191	"Italy"
1928	"Italy"
415	"Italy"
712	"Italy"
293	"Italy"
914	"Italy"
1248	"Italy"
1188	"Italy"
116	"Italy"
436	"Italy"
1412	"Italy"
812	"Italy"
468	"Italy"
1902	"Italy"
2086	"Italy"
1187	"Italy"
627	"Italy"
393	"Italy"
1712	"Italy"
1989	"Italy"
451	"Italy"
1739	"Italy"
1821	"Italy"
684	"Italy"
101	"Italy"
147	"Italy"
311	"Italy"
724	"Italy"
2159	"Italy"
1531	"Italy"
322	"Italy"
599	"Italy"
225	"Italy"
981	"Italy"
1222	"Italy"
1545	"Italy"
1624	"Italy"
2094	"Italy"
1072	"Italy"
1966	"Italy"
203	"Italy"
110	"Italy"
259	"Italy"
157	"Italy"
200	"Italy"
1934	"Italy"
504	"Italy"
249	"Italy"
1609	"Italy"
546	"Italy"
1744	"Italy"
1212	"Italy"
1614	"Italy"
692	"Italy"
2183	"Italy"
148	"Italy"
1450	"Italy"
192	"Italy"
133	"Italy"
831	"Italy"
455	"Italy"
364	"Italy"
382	"Italy"
1846	"Italy"
657	"Italy"
1767	"Italy"
2238	"Italy"
356	"Italy"
1752	"Italy"
587	"Italy"
1492	"Italy"
572	"Italy"
49	"Italy"
1251	"Italy"
2133	"Italy"
1189	"Italy"
266	"Italy"
2051	"Italy"
693	"Italy"
369	"Italy"
713	"Italy"
768	"Italy"
2026	"Italy"
1742	"Italy"
1703	"Italy"
2048	"Italy"
1010	"Italy"
428	"Italy"
13	"Italy"
122	"Italy"
616	"Italy"
2041	"Italy"
20	"Italy"
1131	"Italy"
70	"Italy"
1992	"Italy"
758	"Italy"
2053	"Italy"
1800	"Italy"
1284	"Italy"
1255	"Italy"
2232	"Italy"
1700	"Italy"
1538	"Italy"
1786	"Italy"
1364	"Italy"
2024	"Italy"
1430	"Italy"
901	"Italy"
1000	"Italy"
1007	"Italy"
560	"Italy"
1068	"Italy"
1373	"Italy"
875	"Italy"
1478	"Italy"
1532	"Italy"
2197	"Italy"
1750	"Italy"
1379	"Italy"
111	"Italy"
493	"Italy"
1178	"Italy"
1263	"Italy"
781	"Italy"
954	"Italy"
641	"Italy"
1440	"Italy"
943	"Italy"
1285	"Italy"
416	"Italy"
1751	"Italy"
785	"Italy"
1299	"Italy"
965	"Italy"
894	"Italy"
1524	"Italy"
209	"Italy"
742	"Italy"
41	"Italy"
1808	"Italy"
99	"Italy"
483	"Italy"
570	"Italy"
2222	"Italy"
2066	"Italy"
1416	"Italy"
2085	"Italy"
14	"Italy"
1537	"Italy"
2173	"Italy"
342	"Italy"
1639	"Italy"
1807	"Italy"
2202	"Italy"
586	"Italy"
1136	"Italy"
1175	"Italy"
1391	"Italy"
1258	"Italy"
2170	"Italy"
1607	"Italy"
1920	"Italy"
655	"Italy"
197	"Italy"
2177	"Italy"
836	"Italy"
690	"Italy"
1115	"Italy"
618	"Italy"
791	"Italy"
1631	"Italy"
215	"Italy"
186	"Kosovo"
1423	"Kosovo"
1812	"Kosovo"
1176	"Kosovo"
324	"Kosovo"
1217	"Kosovo"
1129	"Kosovo"
1195	"Kosovo"
2095	"Kosovo"
193	"Kosovo"
766	"Kosovo"
170	"Kosovo"
509	"Kosovo"
321	"Kosovo"
1467	"Kosovo"
472	"Latvia"
234	"Macedonia"
1723	"Macedonia"
748	"Macedonia"
1621	"Macedonia"
1983	"Montenegro"
1362	"Netherlands"
2025	"Netherlands"
1344	"Netherlands"
1606	"Netherlands"
305	"Netherlands"
1824	"Netherlands"
1332	"Netherlands"
1064	"Netherlands"
794	"Netherlands"
484	"Netherlands"
524	"Netherlands"
1832	"Netherlands"
318	"Netherlands"
906	"Netherlands"
479	"Netherlands"
2089	"Netherlands"
1651	"Netherlands"
495	"Norway"
1205	"Norway"
2201	"Poland"
2249	"Poland"
813	"Poland"
764	"Poland"
1663	"Poland"
1597	"Poland"
480	"Poland"
1649	"Poland"
1731	"Poland"
406	"Poland"
1595	"Poland"
1464	"Poland"
1958	"Poland"
856	"Poland"
1589	"Poland"
1338	"Poland"
678	"Poland"
2169	"Poland"
1241	"Poland"
1514	"Poland"
1301	"Poland"
1277	"Poland"
80	"Portugal"
489	"Portugal"
1109	"Portugal"
869	"Portugal"
1118	"Portugal"
982	"Portugal"
1645	"Portugal"
868	"Portugal"
1513	"Portugal"
404	"Portugal"
544	"Portugal"
1500	"Portugal"
1092	"Portugal"
360	"Portugal"
1882	"Portugal"
1393	"Portugal"
84	"Portugal"
499	"Portugal"
1793	"Portugal"
826	"Portugal"
797	"Portugal"
178	"Portugal"
2040	"Portugal"
490	"Portugal"
229	"Portugal"
401	"Portugal"
214	"Portugal"
1294	"Portugal"
169	"Portugal"
1528	"Portugal"
2167	"Portugal"
1690	"Portugal"
1361	"Portugal"
1400	"Portugal"
112	"Portugal"
2141	"Portugal"
1271	"Portugal"
1776	"Portugal"
917	"Portugal"
60	"Portugal"
2022	"Portugal"
1237	"Portugal"
1008	"Portugal"
571	"Portugal"
2188	"Portugal"
1612	"Portugal"
1555	"Portugal"
1637	"Portugal"
1318	"Portugal"
413	"Portugal"
1216	"Portugal"
1943	"Portugal"
919	"Portugal"
1417	"Portugal"
2069	"Portugal"
1785	"Portugal"
2073	"Portugal"
299	"Portugal"
1147	"Portugal"
1636	"Portugal"
1654	"Portugal"
1376	"Portugal"
1387	"Portugal"
1190	"Portugal"
683	"Portugal"
1240	"Portugal"
1498	"Portugal"
196	"Portugal"
633	"Portugal"
1596	"Portugal"
270	"Portugal"
195	"Portugal"
2104	"Portugal"
2235	"Portugal"
991	"Portugal"
365	"Portugal"
1209	"Portugal"
1949	"Portugal"
2171	"Portugal"
2128	"Portugal"
1390	"Portugal"
2029	"Portugal"
934	"Portugal"
1339	"Portugal"
1017	"Portugal"
1816	"Portugal"
1326	"Portugal"
414	"Portugal"
1040	"Portugal"
1707	"Portugal"
